institution_code,standard_institution_code,institution_name,normalized_name,aliases,ministry,institution_type,institution_classification,sido,sigungu
C0365,,울산항만공사,울산항만공사,,,기타공공기관,SOC,,
C0440,,육아정책연구소,육아정책연구소,,,기타공공기관,기타,,
C1064,,의료기관평가인증원,의료기관평가인증원,,,기타공공기관,고용보건복지,,
C0105,,인천국제공항공사,인천국제공항공사,,,공기업(시장형),SOC,,
C0107,,인천항만공사,인천항만공사,,,기타공공기관,SOC,,
C1401,,자동차손해배상진흥원,자동차손해배상진흥원,,,기타공공기관,기타,,
C1318,,재단법인 건설기술교육원,건설기술교육원,재단법인건설기술교육원,,기타공공기관,연구교육,,
C1108,,재단법인 대한건설기계안전관리원,대한건설기계안전관리원,재단법인대한건설기계안전관리원,,기타공공기관,기타,,
C1017,,재단법인 장애인기업종합지원센터,장애인기업종합지원센터,재단법인장애인기업종합지원센터,,기타공공기관,기타,,
C1102,,재단법인 한국공공조직은행,한국공공조직은행,재단법인한국공공조직은행,,기타공공기관,고용보건복지,,
C1109,,재단법인 한국에너지재단,한국에너지재단,재단법인한국에너지재단,,기타공공기관,에너지,,
C0861,,재단법인 한국자활복지개발원,한국자활복지개발원,재단법인한국자활복지개발원,,기타공공기관,고용보건복지,,
C1103,,재단법인 한국장기조직기증원,한국장기조직기증원,재단법인한국장기조직기증원,,기타공공기관,고용보건복지,,
C1383,,재외동포협력센터,재외동포협력센터,,,기타공공기관,기타,,
C0553,,전국재해구호협회,전국재해구호협회,,,기타공공기관,SOC,,
C0113,,전남대학교병원,전남대학교병원,대병원|전남대병원,,기타공공기관,고용보건복지,,
C0114,,전북대학교병원,전북대학교병원,대병원|전북대병원,,기타공공기관,고용보건복지,,
C0115,,전쟁기념사업회,전쟁기념사업회,,,기타공공기관,연구교육,,
C0908,,정보통신기획평가원,정보통신기획평가원,,,준정부기관(위탁집행형),기타,,
C0394,,정보통신산업진흥원,정보통신산업진흥원,,,기타공공기관,산업진흥정보화,,
C0120,,정보통신정책연구원,정보통신정책연구원,,,기타공공기관,산업진흥정보화,,
C0376,,정부법무공단,정부법무공단,,,기타공공기관,문화예술외교법무,,
C0121,,제주국제자유도시개발센터,제주국제자유도시개발센터,,,공기업(준시장형),SOC,,
C0122,,제주대학교병원,제주대학교병원,대병원|제주대병원,,기타공공기관,고용보건복지,,
C1044,,주식회사 에스알,에스알,주식회사에스알,,공기업(준시장형),SOC,,
